datetime,open,high,low,close,volume
2023-01-20,234.855,240.74001,234.50999,240.22,35389808
2023-01-19,233.78,235.52,230.67999,231.92999,28381494
2023-01-18,241.565,242.38,235.52,235.81,30028692
2023-01-17,237.97,240.91,237.09,240.35001,29723692
2023-01-13,237.002,239.37,234.92,239.23,21333264
2023-01-12,235.25999,239.89999,233.56,238.50999,27174352
2023-01-11,231.28999,235.95,231.11,235.77,28392968
2023-01-10,227.755,231.31,227.33,228.85001,26870172
2023-01-09,226.45,231.2366,226.41,227.12,27041148
2023-01-06,223.0,225.7601,219.35001,224.92999,43613576
2023-01-05,227.2,227.55,221.76019,222.31,39233024
2023-01-04,232.27499,232.87,225.96001,229.10001,50283968
2023-01-03,243.08,245.75,237.39999,239.58,25683616
2022-12-30,238.21001,239.96001,236.66,239.82001,21938472
2022-12-29,235.64999,241.92,235.64999,241.00999,19743616
2022-12-28,236.89,239.72,234.17,234.53,17199124
2022-12-27,238.7,238.92999,235.83,236.96001,16424889
